Player.ID,Position,Date,15_sec_No_Jumps,15_sec_Contact,15_sec_Flight,15_sec_Hgt,CMJ.1,CMJ.2,R_Drift_Contact,R_Drift_Flight,R_Drift_Hgt,L_Drift_Contact,L_Drift_Flight,L_Drift_Hgt
256263,DE,7/18/19,21,0.297,0.465,10.5,18.7,17.5,0.465,0.24,2.8,0.406,0.215,2.2
254467,DT,7/18/19,,,,,,,,,,,,
266918,DT,7/18/19,18,0.371,0.48,11.1,14.8,14.7,0.44,0.324,5.1,0.381,0.307,4.6
268360,DT,7/18/19,21,0.332,0.399,7.7,12.6,12.8,0.457,0.182,1.6,0.451,0.204,2
268234,OLB,7/18/19,17,0.412,0.496,11.9,17.4,16.2,0.422,0.353,6,0.384,0.358,6.2
270716,ILB,7/18/19,22,0.192,0.512,12.7,18.2,18,0.402,0.362,6.3,0.408,0.372,6.7
268689,CB,7/18/19,24,0.237,0.413,8.2,16.7,19.4,0.343,0.316,4.9,0.354,0.265,3.4
267600,FS,7/18/19,16,0.438,0.53,13.6,17.7,17.1,0.484,0.291,4.1,0.572,0.336,5.5
268272,SS,7/18/19,19,0.253,0.568,15.6,18,17.6,0.304,0.436,9.2,0.332,0.4,7.7
254062,SS,7/18/19,18,0.347,0.538,14,17.1,17.1,0.282,0.238,2.9,0.334,0.329,5.3
268327,CB,7/18/19,25,0.202,0.431,9,16,14.8,0.314,0.344,5.7,0.372,0.326,5.2
271368,RB,7/18/19,17,0.349,0.567,15.5,22.1,22.6,0.406,0.439,9.3,0.46,0.381,7
253694,DL,7/21/19,25,0.222,0.388,7.3,10.7,11.5,0.428,0.277,3.7,0.384,0.283,3.9
256351,WR,7/16/19,14,0.5,0.609,17.9,21.7,22.1,0.448,0.421,8.6,0.531,0.392,7.4
255797,TE,7/22/19,16,0.44,0.526,13.3,15.8,16.3,0.477,0.384,7.1,0.506,0.378,6.9
274943,RB,7/18/19,,,,,,,,,,,,
166828,FB,7/24/19,22,0.252,0.453,9.9,16.6,16.7,0.408,0.357,6.2,0.44,0.371,6.7
251457,CB,7/24/19,21,0.259,0.48,11.1,15.4,15.1,0.35,0.352,6.1,0.432,0.404,7.9
